,num_units,num_stories,num_rooms,num_bedrooms,monthly_rent,outofpocket_rent,year,hhinc,num_under6,num_under18
367,11,4,4,3,1100,240,2011,13000,1,3
368,12,4,5,4,1315,385,2011,29932,1,3
369,12,4,4,3,1134,234,2011,27371,1,2
370,13,6,5,4,500,500,2011,32000,1,1
371,13,6,3,2,487,487,2011,19520,1,1
372,13,6,4,3,550,550,2011,56000,1,3
373,13,6,5,4,300,300,2011,17000,1,3
374,13,5,2,2,933,471,2011,9000,1,1
375,13,5,3,2,893,200,2011,8400,1,1
376,13,5,2,2,585,185,2011,19044,1,1
377,13,5,3,2,1115,115,2011,6540,1,1
378,11,4,5,4,1680,1680,2011,61000,3,5
379,11,2,4,3,850,850,2011,12000,1,3
380,11,4,3,3,600,374,2011,8500,1,1
381,11,7,5,4,1300,1300,2011,61400,1,2
382,3,1,4,2,890,890,2011,8100,2,2
383,11,4,3,2,1000,1000,2011,31400,2,4
384,5,2,4,3,950,950,2011,73000,1,1
385,5,2,2,2,950,950,2011,71000,1,1
386,11,5,4,3,1300,300,2011,45080,1,2
388,11,5,4,3,1300,200,2011,5200,3,3
389,11,5,3,2,1547,151,2011,18144,3,3
390,12,7,5,4,1150,187,2011,28400,1,1
391,12,5,5,4,1445,545,2011,18000,1,2
392,12,5,5,4,412,0,2011,7116,1,3
393,12,5,5,4,619,619,2011,27000,1,3
394,13,5,3,3,920,657,2011,17000,2,3
395,13,5,4,3,850,850,2011,53396,1,2
396,13,5,4,3,1400,856,2011,28000,1,3
397,13,5,4,3,1350,902,2011,19000,2,5
398,13,6,5,4,142,142,2011,13604,1,1
399,13,6,4,3,346,346,2011,14472,2,2
400,13,6,5,4,540,540,2011,20364,2,2
